cohort,n_admissions,n_eval_admissions,n_hours,septic_admissions_pct,auroc,auroc_lo,auroc_hi,mean_score,alert_hours_pct,alerted_admissions_pct,local_threshold,utility_frozen,utility_frozen_lo,utility_frozen_hi,utility_local,utility_local_lo,utility_local_hi,gain_lo,gain_hi
"MICU (held out, same unit)",1137,569,43417,10.817941952506596,0.8046459476513681,0.7793662425262263,0.8348142214881107,0.3415421896704892,27.169081235460762,75.72559366754618,0.43433918021432116,0.4686798771978789,0.35758871498187844,0.559651796842156,0.46743511024281326,0.3582074934097109,0.557838518262355,-0.016213063838334797,0.011549675668480338
"SICU (surgical, the transfer target)",4650,2325,169821,4.0,0.7810050569822347,0.7476503937780065,0.8183156925251052,0.3351529421274298,21.613345817066204,74.58064516129032,0.599278265507377,0.08840517395822133,-0.05916140371550245,0.188329806673337,0.4076892758608334,0.3196451427208185,0.5001918612511919,0.24325828398594043,0.44392720595167867
unit not recorded,8090,4045,327827,10.432632880098886,0.7849087409154133,0.7726993829788219,0.7982378757507074,0.3645337715911517,32.16818626897723,75.57478368355996,0.5151755255670404,0.3772856218185886,0.3346934870077557,0.42200401054265513,0.38098065382248825,0.34554138656829775,0.42124755484317994,-0.01628759703468245,0.022928530168257907
