model,brier_raw,brier_calibrated,ece_raw,ece_calibrated,auroc_raw,auroc_calibrated
clinical_rule,0.0994933471083641,0.021111181119642324,0.20625592821160016,0.0037232518304863883,0.6460867288692801,0.6478464468195878
logistic,0.17865589261054993,0.020587117521898214,0.33300241065203884,0.002756461315989675,0.7929408876039624,0.7921262810616995
xgboost,0.17322015762329102,0.01982722870432672,0.3630604280784608,0.002823928861406318,0.813905557368686,0.8134812579373548
gru,0.05633128434419632,0.02073218681594031,0.09198679798935219,0.004295066223407205,0.7708909616051077,0.7702476537027559
