model,n_features,auroc_hospital_a,auroc_hospital_b,transfer_gap,utility_hospital_a,utility_hospital_b
everything,345,0.8229209216583346,0.7868468018112451,0.036074119847089525,0.42418705090482045,0.3005929423306864
no ordering behaviour,236,0.8174156290211623,0.7920587157154204,0.025356913305741857,0.4158877088410977,0.307169880737039
