model,weight,utility_alone,utility_without,marginal_contribution
xgboost,0.6021837607714282,0.40173963133640556,0.4055619559651818,0.02322964669738864
logistic,0.25559863699350044,0.3816961085509473,0.41287890424987206,0.01591269841269838
gru,0.1422176022350713,0.36432539682539694,0.4234741423451101,0.005317460317460332
