auroc,auprc,utility,threshold,alert_rate,sensitivity,precision,brier,ece,model,split,auroc_ci_low,auroc_ci_high
0.6478464468195878,0.03705966314371072,0.13777008852463177,0.02860992233317483,0.24160893479447454,0.44504643962848295,0.03996941470874461,0.021111181119642324,0.0037232518304863883,clinical_rule,test,0.6213066398492687,0.6698362136835726
0.7921262810616995,0.08092628069132468,0.35944536350663625,0.032532532532532535,0.1616156526850569,0.5499226006191951,0.0738335238491115,0.020587117521898214,0.002756461315989675,logistic,test,0.7693803742097496,0.8172109000890384
0.8134812579373548,0.1391441031611211,0.393876520135881,0.030849673202614378,0.24411134903640258,0.6861455108359134,0.060990712074303406,0.01982722870432672,0.002823928861406318,xgboost,test,0.7896176456231898,0.8342860903500953
0.7702476537027559,0.06994006919240997,0.3122204402237743,0.03326653306613227,0.18267623966074653,0.5328947368421053,0.06329870368667831,0.02073218681594031,0.004295066223407205,gru,test,0.7474354226595696,0.7941907319058548
0.8193483447291262,0.10618804400015727,0.40961142611792345,0.03199815837937386,0.2235294117647059,0.6741486068111455,0.06544197753484353,0.020215141196384248,0.0032597182814108634,ensemble,test,0.7974491996309804,0.8398323920106893
0.6595683976497344,0.027419110242160406,0.01098200324983933,0.02860992233317483,0.17627018549990486,0.3641929499072356,0.029229360393695513,0.013905789052260994,0.006212548717062926,clinical_rule,external,,
0.7310821269172884,0.0570322533512161,0.25663733635833963,0.032532532532532535,0.1043956981345022,0.44647495361781075,0.06050358898289105,0.019120243038394595,0.011499773926357674,logistic,external,,
0.8013380700506985,0.06927041349613546,0.3274525554158861,0.030849673202614378,0.1056791711231701,0.5196660482374769,0.0695667291715822,0.013543618748572578,0.0028331999185705736,xgboost,external,,
0.7158480311987344,0.0280041341409749,0.05299414415795408,0.03326653306613227,0.25191372646802146,0.5512059369202227,0.03095484926311622,0.015280551503235958,0.016781267217344846,gru,external,,
0.8015351296021039,0.06569249000129766,0.2572750406229861,0.03199815837937386,0.19497503264457117,0.6343228200371057,0.046025442552332235,0.013610469826234631,0.005237800744111409,ensemble,external,,
