split,factor,group,n_admissions,septic_pct,auroc,auroc_lo,auroc_hi,utility,detection_rate,median_lead_time_h,false_alarm_rate
hospital A (test),overall,all admissions,3051,8.816781383153065,0.8134812579373548,0.7920936755932304,0.837599109378219,0.393876520135881,81.04089219330855,38.0,42.45147375988497
hospital A (test),sex,female (coded 0),1308,8.333333333333332,0.8448310004185745,0.8136012177997571,0.8749490598089391,0.43877035027133726,88.9908256880734,32.0,46.121768140116764
hospital A (test),sex,male (coded 1),1743,9.179575444635686,0.7931894994975198,0.7652757834004759,0.8215684689273518,0.3627355363062775,75.625,43.0,39.67150979153506
hospital A (test),age,under 50,624,9.294871794871796,0.8189480395067523,0.763228819088656,0.8721543875032219,0.4366376811594204,86.20689655172413,46.0,49.82332155477032
hospital A (test),age,50-64,898,7.683741648106904,0.828687202998551,0.7753213039251617,0.8679391975475762,0.3952362185329327,82.6086956521739,31.0,42.21954161640531
hospital A (test),age,65-79,1054,9.392789373814042,0.8026969705206441,0.7674128088705634,0.8325429935690549,0.3840363220462345,76.76767676767676,42.0,38.7434554973822
hospital A (test),age,80 and over,475,9.05263157894737,0.8123199687471385,0.7575555841560475,0.8564551594765913,0.3562299569808369,81.3953488372093,25.0,41.43518518518518
hospital A (test),unit,MICU,799,10.638297872340425,0.7622469312702538,0.7127869959524349,0.8158812609799615,0.3923598571485897,85.88235294117646,28.0,60.364145658263304
hospital A (test),unit,SICU,820,4.390243902439024,0.8703573822912632,0.8195325161645232,0.9212363936671041,0.3573088455772114,47.22222222222222,44.0,12.5
hospital A (test),unit,unit not recorded,1432,10.335195530726256,0.8105802080673776,0.783338853728255,0.8380403287014295,0.4036954626783506,86.48648648648648,40.0,50.77881619937694
hospital B (external),overall,all admissions,20000,5.71,0.8013380700506985,0.7910696501947532,0.8132249943875685,0.3274525554158861,66.90017513134852,29.0,24.191324636758935
hospital B (external),sex,female (coded 0),9268,5.3409581355200695,0.8040728691004573,0.7855185434724946,0.8229399048553869,0.3212173556000761,65.85858585858585,31.5,24.381625441696116
hospital B (external),sex,male (coded 1),10732,6.028699217294074,0.7989007560972448,0.7846165414232242,0.8141337145798089,0.3322156906220757,67.69706336939721,27.0,24.02578086266733
hospital B (external),age,under 50,5177,5.717597063936643,0.7855552703401847,0.767052596515867,0.8114719636907083,0.3240547912713474,66.8918918918919,25.0,25.199754148740013
hospital B (external),age,50-64,6429,5.584072172966247,0.8065069202606849,0.7894644615451109,0.8233032792195311,0.31805951018091777,68.52367688022284,27.0,22.99835255354201
hospital B (external),age,65-79,6315,5.890736342042755,0.8103149874480263,0.7921998166825551,0.8283989079429648,0.3580073366749739,65.59139784946237,34.5,24.2974928487296
hospital B (external),age,80 and over,2079,5.531505531505532,0.797131520931166,0.761318043886013,0.8268699222753323,0.26511563537950555,66.08695652173913,25.5,25.050916496945007
hospital B (external),unit,MICU,6923,5.633395926621406,0.785345471162404,0.764953674331041,0.8004465665934559,0.27403131671293635,71.53846153846153,19.0,35.022195009949485
hospital B (external),unit,SICU,6982,6.130048696648525,0.8075776461111392,0.7914923276327803,0.8233819292347284,0.3396836025105277,60.280373831775705,35.5,17.119316447970707
hospital B (external),unit,unit not recorded,6095,5.315832649712879,0.8162196976673092,0.7986609857228477,0.83478494523436,0.3738097540534441,70.06172839506173,36.0,19.96187835730376
