auprc,loss,val_auprc,val_loss,learning_rate
0.19916683435440063,0.5620763301849365,0.30948981642723083,0.4886201322078705,0.0010000000474974513
0.2090894877910614,0.5211378931999207,0.28129562735557556,0.45896801352500916,0.0010000000474974513
0.2555144429206848,0.49345704913139343,0.22728976607322693,0.4711531698703766,0.0010000000474974513
0.28332918882369995,0.4634972810745239,0.26605224609375,0.4937155246734619,0.0005000000237487257
0.28794193267822266,0.4547988176345825,0.3208845555782318,0.45380717515945435,0.0005000000237487257
0.3409520387649536,0.4416574239730835,0.28014248609542847,0.4562446177005768,0.0005000000237487257
0.35385075211524963,0.4268776476383209,0.3143041431903839,0.45656251907348633,0.0005000000237487257
0.397363543510437,0.40514957904815674,0.34576335549354553,0.46265819668769836,0.0002500000118743628
0.4257325828075409,0.39236921072006226,0.3246561884880066,0.45050206780433655,0.0002500000118743628
0.4365054965019226,0.3785965144634247,0.3423768877983093,0.4768192172050476,0.0002500000118743628
0.48894160985946655,0.3646736741065979,0.3438321053981781,0.4835396707057953,0.0001250000059371814
0.4899594783782959,0.3539575934410095,0.35994088649749756,0.4978574812412262,0.0001250000059371814
0.5024006366729736,0.3504088222980499,0.3557251989841461,0.49885404109954834,0.0001250000059371814
0.5138958692550659,0.3426933288574219,0.3643568158149719,0.5230111479759216,0.0001250000059371814
0.530143141746521,0.33766019344329834,0.3546072840690613,0.5113348364830017,0.0001250000059371814
0.5472477674484253,0.3285895884037018,0.336907297372818,0.506274938583374,0.0001250000059371814
0.5614442229270935,0.3173066973686218,0.35212242603302,0.5140154361724854,6.25000029685907e-05
0.5638508200645447,0.3153976500034332,0.3442079424858093,0.5273938775062561,6.25000029685907e-05
0.5768868327140808,0.30524468421936035,0.3542520999908447,0.5292007327079773,3.125000148429535e-05
