feature,gain,cover,weight,gain_share
MAP_max6,805.6784057617188,35828.5,3.0,0.0013982238015639204
DBP_std24,800.4007568359375,25667.369140625,2.0,0.0013890646453900014
PTT_dev,792.9658203125,8966.806640625,1.0,0.001376161599787881
lab_order_rate,747.3473510742188,19708.349609375,3.0,0.0012969925057377907
Alkalinephos_obs_rate,734.5059814453125,1012.4095458984375,2.0,0.0012747068039845688
Hct_mean24,710.530029296875,3748.451171875,2.0,0.0012330974636828287
Resp_obs_rate,676.0343017578125,12823.24609375,2.0,0.0011732314588942553
Lactate_mean24,674.57958984375,11074.7626953125,1.0,0.0011707068624695345
Lactate_dev,664.9852294921875,42726.96875,8.0,0.0011540562200936194
Creatinine_mean24,645.744384765625,5488.63330078125,1.0,0.001120664476109318
pH_slope6,639.716552734375,9660.384765625,1.0,0.0011102034060872727
DBP_mean6,631.7216796875,6366.33447265625,1.0,0.0010963286122431287
AST_obs_rate,628.90625,46525.3359375,2.0,0.0010914425425997821
Hct_std24,595.58203125,9556.1865234375,1.0,0.0010336096461344485
Hct_mean6,592.650634765625,295.1981506347656,2.0,0.001028522320587478
Temp_std24,578.9992065429688,39948.0546875,6.0,0.0010048307933853643
Temp_hours_since,570.8753662109375,23943.677734375,1.0,0.0009907321817915586
Platelets_slope12,521.5615234375,8454.884765625,1.0,0.0009051499094862563
Potassium_obs_rate,507.24560546875,5086.9140625,1.0,0.0008803051859563782
Fibrinogen_n_obs,443.83203125,38520.42578125,1.0,0.0007702533734952165
pH_hours_since,399.0,8047.74853515625,1.0,0.0006924491122441748
MAP_obs_rate,398.5230407714844,8381.0888671875,6.0,0.0006916213678974021
DBP_hours_since,324.703125,6754.53515625,1.0,0.0005635097510003994
