variant,auroc,auroc_inflation,utility,utility_inflation,n_train_rows,n_test_rows
"honest (admission split, causal features)",0.8206006670668384,0.0,0.4147531762542077,0.0,503767,167363
A: split ICU hours at random,0.8481494821398428,0.02754881507300433,0.49435735383904583,0.07960417758483812,503347,167783
B: fill gaps from the future (bfill),0.8261624008994215,0.005561733832583071,0.4626001089256538,0.047846932671446074,503767,167363
