cohort,n_admissions,septic_admissions_pct,auroc,utility,utility_gap_vs_A
hospital A (test),3051,8.816781383153065,0.8229209216583346,0.4242981802568604,0.0
hospital B (as observed),20000,5.71,0.7868468018112451,0.2945647974982361,-0.12973338275862428
hospital B (reweighted to A's case mix),20000,6.72763902886733,0.7855525481158505,0.31200604675869986,-0.11229213349816053
